City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
332,tazacorte,28.629,-17.9293,23.54,90,100,6.17,ES,1722980861
333,kariya,34.9833,136.9833,30.64,70,100,1.21,JP,1722980862
334,martinsburg,39.4562,-77.9639,35.01,50,0,2.57,US,1722980863
335,kirs,59.3388,52.2447,13.41,94,100,2.13,RU,1722980864
336,kingston,17.997,-76.7936,32.53,70,20,6.17,JM,1722980866
337,fort st. john,56.2499,-120.8529,17.94,72,75,2.06,CA,1722980867
338,meulaboh,4.1363,96.1285,23.5,92,98,1.99,ID,1722980868
339,bolszewo,54.618,18.1759,16.3,91,38,1.27,PL,1722980869
340,komsomolets,53.7453,62.0708,17.74,93,100,2.29,KZ,1722980870
341,baotou,40.6522,109.8222,21.23,70,50,2.82,CN,1722980873
342,kalach-na-donu,48.691,43.5264,21.81,52,61,2.16,RU,1722980875
343,bonthe,7.5264,-12.505,25.45,81,100,4.25,SL,1722980876
344,rawai,7.7797,98.3253,25.06,77,99,5.31,TH,1722980877
345,gizo,-8.103,156.8419,27.5,79,35,3.72,SB,1722980878
346,fortuna,40.5982,-124.1573,19.08,77,0,6.69,US,1722980879
347,klaksvik,62.2266,-6.589,11.51,91,77,9.59,FO,1722980880
348,qamdo,31.1667,97.2333,7.75,79,100,0.84,CN,1722980594
349,bata,1.8639,9.7658,24.36,86,36,4.34,GQ,1722980884
350,caluula,11.9661,50.7569,29.44,73,6,0.74,SO,1722980885
351,castillos,-34.1667,-53.8333,16.81,95,100,4.39,UY,1722980886
352,coquimbo,-29.9533,-71.3436,13.85,65,0,4.63,CL,1722980796
353,greenville,35.6127,-77.3663,24.09,99,40,2.57,US,1722980652
354,puerto quijarro,-17.7833,-57.7667,28.25,19,2,1.22,BO,1722980889
355,talara,-4.5772,-81.2719,23.42,68,0,8.23,PE,1722980890
356,hasaki,35.7333,140.8333,27.38,90,27,4.38,JP,1722980891
357,hadibu,12.65,54.0333,25.1,80,23,8.25,YE,1722980892
358,uacu cungo,-11.3634,15.1208,17.64,71,2,1.27,AO,1722980893
359,illizi,26.4833,8.4667,31.89,16,0,3.09,DZ,1722980894
360,richards bay,-28.783,32.0377,18.18,66,0,4.63,ZA,1722980896
361,salalah,17.0151,54.0924,25.05,100,100,1.03,OM,1722980897
362,midvagur,62.0511,-7.1939,11.46,100,100,8.75,FO,1722980898
363,chardara,41.2547,67.9692,26.09,28,0,5.83,KZ,1722980899
364,nosivka,50.9315,31.5828,16.26,89,98,2.91,UA,1722980900
365,tamanrasset,22.785,5.5228,30.95,11,0,4.63,DZ,1722980901
